"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 23 08:31:04 MSK 2022","Thu Jun 23 08:31:18 MSK 2022","14526","","Тестирование Шапки Документа Заказ Клиента и проверка реквизита Организация (Модуль 5)","","","","_0502_01 Подготовка данных",""
"passed","Thu Jun 23 08:31:18 MSK 2022","Thu Jun 23 08:33:43 MSK 2022","145272","","Тестирование Шапки Документа Заказ Клиента и проверка реквизита Организация (Модуль 5)","","","","_0502_001 Тестирование Шапки документа и проверка Заполнения реквизита Организация",""
"passed","Wed Jun 22 21:41:48 MSK 2022","Wed Jun 22 21:42:01 MSK 2022","13251","","Тестирование вывода отчета остатки","","","","002_Тестирование вывода отчета остатки",""
